Lines,Lon,VehicleNumber,Time,Lat,Brigade
213,21.099804,1000,2024-02-20 17:42:48,52.226404,3
213,21.1727113,1001,2024-02-20 17:42:39,52.1883396,1
225,21.118165,1003,2024-02-20 17:42:54,52.234298,503
213,21.20858,1004,2024-02-20 17:42:45,52.160429,5
213,21.2156761,1006,2024-02-20 17:42:53,52.1824393,4
219,21.0927251,1007,2024-02-20 17:42:56,52.2250465,2
L-8,21.0341031,10071,2024-02-20 17:42:54,52.3945196,1
L31,21.042179,10072,2024-02-20 17:42:53,52.4344661,1
L49,20.917396,10073,2024-02-20 17:42:51,52.377839,1
L24,21.075201,10074,2024-02-20 17:42:51,52.0617451,696
L-8,21.0418025,10075,2024-02-20 17:42:55,52.3825991,02
219,21.1715956,1008,2024-02-20 17:42:50,52.184276,1
225,21.11661,1009,2024-02-20 17:42:38,52.235006,502
219,21.1567123,1010,2024-02-20 17:42:54,52.2140028,3
196,21.1622335,1012,2024-02-20 17:42:55,52.2571661,03
213,21.102443,1013,2024-02-20 17:42:54,52.22272,2
225,21.156196,1014,2024-02-20 17:42:52,52.2725466,04
809,21.038549,1020,2024-02-20 17:42:53,52.154144,777
192,21.049941,1022,2024-02-20 17:42:45,52.144219,1
208,20.975548,1024,2024-02-20 17:42:54,52.210243,05
107,20.9793852,1025,2024-02-20 17:42:55,52.2444989,1
815,21.000864,1026,2024-02-20 17:42:53,52.123333,776
339,21.095261,1027,2024-02-20 17:42:53,52.144524,03
339,21.084265,1028,2024-02-20 17:42:54,52.164337,02
192,21.017963,1029,2024-02-20 17:42:53,52.152683,06
192,21.065205,1030,2024-02-20 17:42:54,52.137894,5
263,21.081707,1031,2024-02-20 17:42:52,52.158203,06
108,21.035971,1032,2024-02-20 17:42:53,52.221485,5
263,21.0367294,1033,2024-02-20 17:42:52,52.1463257,4
192,21.0205416,1037,2024-02-20 17:42:54,52.1742249,2
164,21.0837989,1038,2024-02-20 17:42:48,52.1676974,04
208,20.966089,1039,2024-02-20 17:42:52,52.199753,04
107,20.997108,1040,2024-02-20 17:42:50,52.246743,2
204,21.072735,1042,2024-02-20 17:42:45,52.324425,03
107,21.0463017,1043,2024-02-20 17:42:43,52.206815,4
107,21.0674667,1044,2024-02-20 17:42:51,52.192005,5
107,21.0292533,1045,2024-02-20 17:42:48,52.2243117,8
204,21.075575,1046,2024-02-20 17:42:37,52.322271,04
204,21.0288831,1048,2024-02-20 17:42:42,52.3005373,05
204,21.031266,1049,2024-02-20 17:42:53,52.293483,06
207,20.8954617,1050,2024-02-20 17:42:36,52.1934533,1
